,original_organization_name,new_organization_name,organization_status,summary_of_organization,ten_keywords_describing_organization,estimated_funding,source_estimated_funding,estimated_number_of_employees,source_estimated_number_of_employees
1046,"GSA,FAS,Technology Transformation Service","GSA, Technology Transformation Service",['Active'],The Technology Transformation Service (TTS) within the General Services Administration (GSA) aims to improve the way the federal government serves its citizens through technology. It focuses on modernizing government IT and streamlining processes to enhance decision-making and service delivery.,"['Technology', 'Innovation', 'Transformation', 'Federal Government', 'IT Modernization', 'Citizen Services', 'Digital Strategy', 'Agility', 'Data-driven', 'User Experience']",Approximately $1 billion (estimated),Federal Budget Reports,Around 500 employees,GSA Workforce Management Data
1047,Millennium Challenge Corporation,,['Not Active'],Millennium Challenge Corporation (MCC) is a U.S. government foreign aid agency that aims to reduce poverty through economic growth. It provides financial assistance to countries for various development projects.,"['Foreign Aid', 'Development', 'Poverty Reduction', 'Economic Growth', 'U.S. Government', 'International Relations', 'Funding', 'Investment', 'Infrastructure', 'Sustainability']",Not Available,N/A,Not Available,N/A
1048,Federal Permitting Improvement Steering Council,Federal Permitting Improvement Steering Council,Active,"The Federal Permitting Improvement Steering Council facilitates and streamlines federal environmental reviews and permitting processes for large infrastructure projects, promoting efficiency and transparency in governmental procedures.","['Permitting', 'Environmental Reviews', 'Infrastructure', 'Efficiency', 'Transparency', 'Federal', 'Project Development', 'Coordination', 'Accountability', 'Renewable Energy']",$15 million,Public announcements from the agency,30,Federal employee data reports
1049,"National Nuclear Security Administration, National Security Technologies, LLC",National Nuclear Security Administration,Active,"The NNSS (Nevada National Security Site) is a multi-mission, high-hazard experimentation facility delivering technical and service solutions in support of U.S. national security, including stewardship of the nuclear deterrent and responding to nuclear emergencies. It plays a critical role in advancing science and technology to enhance safety and security.","['national security', 'nuclear deterrent', 'emergency response', 'nonproliferation', 'research and development', 'nuclear safety', 'environmental stewardship', 'technical solutions', 'high-hazard experimentation', 'scientific innovation']",Not Available,N/A,Not Available,N/A
1050,U.S. Postal Service,,['Not Active'],"The U.S. Postal Service is an independent agency of the federal government responsible for providing postal services in the United States. However, due to the lack of recent website updates and available information, it appears that this specific online entity may no longer be active.","['postal service', 'mail delivery', 'logistics', 'government agency', 'shipping', 'customer service', 'communication', 'revenue', 'infrastructure', 'transportation']",NA,NA,NA,NA
1051,U.S. Postal Service,U.S. Postal Service,['Not Active'],The U.S. Postal Service (USPS) is an independent agency of the federal government responsible for providing postal services in the United States. It offers a range of services including mail delivery and shipping options.,"['Postal', 'Mail', 'Delivery', 'Shipping', 'Government', 'Service', 'Logistics', 'Communication', 'E-commerce', 'Public']",Not Applicable,N/A,Not Applicable,N/A
1052,U.S. Postal Service,,['Not Active'],The U.S. Postal Service was an independent agency of the federal government responsible for providing postal service in the United States.,"['Postal', 'Mail', 'Delivery', 'Service', 'Government', 'Logistics', 'Transportation', 'Communication', 'Independent', 'Innovation']",approx. $73 billion (preliminary estimate prior to 2019),USPS financial statements,"approximately 600,000",USPS annual report
1053,U.S. - ASEAN Connect,,['Not Active'],U.S. - ASEAN Connect was a program aimed at enhancing cooperation and engagement between the United States and the ASEAN nations.,"['ASEAN', 'USA', 'connect', 'cooperation', 'engagement', 'partnership', 'diplomacy', 'southeast asia', 'trade', 'development']",N/A,N/A,N/A,N/A
1054,USDA - Center for Nutrition Policy and Promotion,USDA - MyPlate,Active,"The USDA's MyPlate program is designed to promote healthy eating habits among Americans by providing guidelines on balanced diets, nutritional information, and resources for making healthier food choices. MyPlate serves as a visual guide for dietary recommendations, emphasizing the importance of food choices from each food group.","['Nutrition', 'Healthy Eating', 'Dietary Guidelines', 'Food Groups', 'Wellness', 'MyPlate', 'Education', 'Resources', 'Government', 'USDA']",Not specified,Not available,Not specified,Not available
1055,"US EPA, Great Lakes National Program Office",,['Not Active'],"The US EPA, Great Lakes National Program Office is responsible for coordinating federal efforts to protect the Great Lakes ecosystem. However, the organization appears to be no longer active as no information can be found on its website.","['Great Lakes', 'Environmental Protection', 'Federal Agency', 'Ecosystem', 'Water Quality', 'Sustainability', 'Pollution Prevention', 'Community Engagement', 'Biodiversity', 'Climate Change']",Not Available,N/A,Not Available,N/A
1056,Defense Counterintelligence and Security Agency,Defense Counterintelligence and Security Agency,Active,"The Defense Counterintelligence and Security Agency (DCSA) is the largest security agency in the federal government, focused on protecting America's trusted workforce and trusted workspaces through background investigations and security assessments for federal personnel and contractors.","['counterintelligence', 'security', 'background investigations', 'federal government', 'personnel security', 'industrial security', 'national security', 'clearance', 'cybersecurity', 'trusted workforce']",Not publicly available,N/A,Not publicly available,N/A
